Word,Meaning (JP),Phonetic Symbol,English Definition,Example Sentence
identify,特定する,/aɪˈdɛntɪˌfaɪ/,To recognize or establish the identity of someone or something.,The engineers were able to identify the root cause of the system failure by analyzing the server logs.
bragger,自慢ばかりする人,/ˈbræɡər/,"A person who boasts or brags a lot, often excessively.",Nobody likes working with a bragger who constantly talks about their achievements without considering the team's efforts.
brag,自慢する,/bræɡ/,To talk with excessive pride about one's achievements or abilities.,"He couldn't help but brag about the new project he completed ahead of schedule, even though his colleagues were already aware of it."
convincingly,説得力を持って,/kənˈvɪnsɪŋli/,In a convincing or persuasive manner.,"She convincingly explained her idea during the meeting, persuading everyone to agree with her proposal."
nudge,軽く押す、合図する,/nʌdʒ/,To gently push or prod someone to take action.,He gave me a gentle nudge to remind me that it was time to start my presentation.
impressive,印象的な、感動的な,/ɪmˈprɛsɪv/,"Having the ability to evoke admiration due to skill, quality, or size.","Her ability to solve complex coding problems under pressure was truly impressive, and it left a lasting impression on the hiring manager."
perceive,理解する、感じ取る,/pərˈsiːv/,To become aware of or understand something through the senses.,"People often perceive challenges as obstacles, but they can also be seen as opportunities for growth."
genuine,本物の、誠実な,/ˈdʒɛnjuɪn/,"Authentic, real, or sincere.","His apology seemed genuine, and you could tell he really regretted his mistake."
derive,導き出す、得る,/dɪˈraɪv/,To obtain or originate something from a source.,Mathematicians often derive complex formulas from basic principles to solve advanced problems.
uncertainty,不確実性、曖昧さ,/ˌʌnˈsɜːrtnti/,The state of being uncertain or unsure about something.,The uncertainty surrounding the project's deadline made it difficult for the team to plan their tasks effectively.
individually,個別に、個々に,/ˌɪndɪˈvɪdʒuəli/,"Separately, one at a time.",Each team member was individually responsible for completing their part of the project before the deadline.
highly,非常に、極めて,/ˈhaɪli/,To a high degree or extent.,"She is highly skilled in software development, particularly in optimizing backend systems for performance."
go through,詳細に調べる、確認する,/ɡoʊ θruː/,"To experience or undergo something, especially a difficult situation.","Before submitting the final report, make sure to go through all the data to check for any errors."
make up,構成する、成り立たせる,/meɪk ʌp/,To create or form something by combining elements.,These five components make up the core structure of the software architecture.
self-awareness,自己認識、自覚,/ˌsɛlf əˈwɛrnəs/,Awareness of one's own character and feelings.,Her strong sense of self-awareness allowed her to recognize her weaknesses and work on improving them.
impressive,印象的な、感動的な,/ɪmˈprɛsɪv/,"Having the ability to evoke admiration due to skill, quality, or size.","Her ability to solve complex coding problems under pressure was truly impressive, and it left a lasting impression on the hiring manager."
perceive,理解する、感じ取る,/pərˈsiːv/,To become aware of or understand something through the senses.,"People often perceive challenges as obstacles, but they can also be seen as opportunities for growth."
genuine,本物の、誠実な,/ˈdʒɛnjuɪn/,"Authentic, real, or sincere.","His apology seemed genuine, and you could tell he really regretted his mistake."
derive,導き出す、得る,/dɪˈraɪv/,To obtain or originate something from a source.,Mathematicians often derive complex formulas from basic principles to solve advanced problems.
impatient,せっかちな、我慢できない,/ɪmˈpeɪʃənt/,Having little patience; easily annoyed by delay.,"He grew impatient while waiting for the software to compile, constantly checking the progress bar."
stick out,目立つ、突き出る,/stɪk aʊt/,To be noticeable or conspicuous in comparison to others.,His bright red jacket really made him stick out in the crowd.
